,Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
0,"Jerusalem,ISR",01/12/2023 00:00:00,49.6,49.6,49.6,39.9,69.29,,3.6,,120.0,48.6,0.0,,,6.0,0.0,1019.0,,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Clear
1,"Jerusalem,ISR",01/12/2023 01:00:00,50.4,50.4,50.4,40.9,69.91,,2.4,,108.0,,0.0,,,6.2,0.0,1019.0,,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Clear
2,"Jerusalem,ISR",01/12/2023 02:00:00,45.6,45.6,45.6,33.2,61.67,,4.5,,110.0,43.4,0.0,,,6.0,13.0,1018.7,Smoke Or Haze,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Clear
3,"Jerusalem,ISR",01/12/2023 03:00:00,44.9,44.9,44.9,32.3,61.13,,4.2,,97.0,42.8,0.0,,,6.2,0.0,1018.0,,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Clear
4,"Jerusalem,ISR",01/12/2023 04:00:00,44.0,44.0,44.0,31.8,61.87,,4.0,,75.0,41.9,0.0,,,6.2,40.0,1017.2,,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Partially cloudy
5,"Jerusalem,ISR",01/12/2023 05:00:00,43.8,43.8,43.8,32.1,63.21,,3.6,,83.0,42.1,0.0,,,6.2,60.0,1017.3,,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Partially cloudy
6,"Jerusalem,ISR",01/12/2023 06:00:00,44.7,44.7,44.7,31.8,60.21,,3.8,,102.0,42.9,0.0,,,6.2,80.0,1018.0,,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Overcast
7,"Jerusalem,ISR",01/12/2023 07:00:00,44.9,44.9,44.9,31.4,58.94,,2.5,,110.0,,0.0,,,5.9,66.5,1018.0,Smoke Or Haze,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Partially cloudy
8,"Jerusalem,ISR",01/12/2023 08:00:00,47.6,47.6,47.6,31.8,54.02,,2.5,,97.0,,0.0,,,5.9,69.6,1019.4,Smoke Or Haze,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Partially cloudy
9,"Jerusalem,ISR",01/12/2023 09:00:00,49.4,49.4,49.4,31.8,50.47,,3.1,,120.0,48.9,0.0,,,5.9,66.5,1018.1,Smoke Or Haze,31.78,35.2187,"ירושלים, ישראל","ירושלים, ישראל",,Partially cloudy
